_n,w,Average fitness,Average fitness deviation,Fitness median,Maximum fitness,Minimum fitness,Standard fitness deviation,Fitness range,Selection,Crossover,Mutation
179,20,31.18,0.05,31.15,31.45,31.15,0.09,0.3,Random,Onepoint,Gaussian
180,1,14.01,3.62,13.28,22.25,6.55,4.48,15.7,Elitism,Uniform,Uniform
181,2,27.81,18.5,19.38,190.6,10.87,38.21,179.73,Elitism,Uniform,Uniform
182,3,25.2,6.55,31.15,31.2,11.07,7.29,20.13,Elitism,Uniform,Uniform
183,4,22.63,4.26,21.2,31.2,10.77,5.8,20.43,Elitism,Uniform,Uniform
184,5,21.09,4.14,21.2,31.2,10.77,6.44,20.43,Elitism,Uniform,Uniform
185,6,20.6,3.92,21.2,31.2,10.77,6.02,20.43,Elitism,Uniform,Uniform
186,7,21.08,6.18,21.2,31.45,0.77,9.08,30.68,Elitism,Uniform,Uniform
187,8,21.12,7.1,21.2,31.45,0.9,9.05,30.55,Elitism,Uniform,Uniform
188,9,20.57,7.82,21.2,31.45,0.85,9.87,30.6,Elitism,Uniform,Uniform
189,10,22.06,8.22,21.2,31.45,0.9,9.57,30.55,Elitism,Uniform,Uniform
190,11,20.05,6.48,20.99,31.45,0.9,8.41,30.55,Elitism,Uniform,Uniform
191,12,16.48,6.57,16,31.45,0.9,7.5,30.55,Elitism,Uniform,Uniform
192,13,16.47,6.57,15.88,31.45,0.9,7.5,30.55,Elitism,Uniform,Uniform
193,14,18.47,5.54,20.9,31.45,0.9,7.07,30.55,Elitism,Uniform,Uniform
194,15,18.98,4.85,20.9,31.45,10.85,6.1,20.6,Elitism,Uniform,Uniform
195,16,19.5,5.17,20.9,31.45,10.85,6.65,20.6,Elitism,Uniform,Uniform
196,17,18.45,5.29,20.9,31.45,10.85,6.32,20.6,Elitism,Uniform,Uniform
197,18,18.94,4.82,20.9,31.45,10.9,6.09,20.55,Elitism,Uniform,Uniform
198,19,18.94,4.83,20.9,31.45,10.85,6.09,20.6,Elitism,Uniform,Uniform
199,20,17.94,5.64,20.9,31.45,10.85,6.49,20.6,Elitism,Uniform,Uniform
200,1,17.72,4.4,18.01,27.8,10.7,5.06,17.1,Elitism,Uniform,Flipbit
201,2,16.53,4.55,13.8,31.84,11.2,5.52,20.64,Elitism,Uniform,Flipbit
202,3,16.34,5.6,12.95,34.69,11.07,7,23.62,Elitism,Uniform,Flipbit
203,4,19.47,5.8,17.49,33.4,11.34,6.52,22.06,Elitism,Uniform,Flipbit
204,5,21.59,7.39,19.79,45.99,11.52,9.17,34.47,Elitism,Uniform,Flipbit
205,6,16.13,4.11,14.32,31.09,11.39,5.21,19.7,Elitism,Uniform,Flipbit
206,7,17.32,5.18,14.54,35.7,11.12,6.79,24.58,Elitism,Uniform,Flipbit
207,8,16.71,4.31,14.88,30.45,11.35,5.1,19.1,Elitism,Uniform,Flipbit
